attribute,category,type,question,option_1,option_2,option_3,result_majority,agreement
Sharpness,alcohol,Physics,Sharpness: What is sharpness of an alcohol?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Malleability,alcohol,Physics,Malleability: Can an alcohol be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,almond,Physics,"Elasticity: If you were to deform an almond (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Surface smoothness,almond,Physics,Surface smoothness: What is the surface smoothness of an almond?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,1.0,0.75
Brittleness,almond,Physics,"Brittleness: How easy is it for an almond to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,1.0
Softness,almond,Physics,"Softness: What is the softness (fluffyness, squishiness) of an almond?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,almond,Physics,Sharpness: What is sharpness of an almond?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Malleability,almond,Physics,Malleability: Can an almond be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,amplifier,Physics,"Elasticity: If you were to deform an amplifier (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Softness,amplifier,Physics,"Softness: What is the softness (fluffyness, squishiness) of an amplifier?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Stiffness,amplifier,Physics,Stiffness: What is the amount of continued weight that an amplifier can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,0.75
Malleability,amplifier,Physics,Malleability: Can an amplifier be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Surface Hardness,anklet,Physics,Surface Hardness: How resistant to scratches or bruises is the surface of an anklet?,Low: surface can be easily scratched or bruised.,"Moderate: surface is resistant to most unintentional damage, but could be scratched if force is applied.",High: object does not get scratched or bruised easily.,3.0,0.75
Brittleness,anklet,Physics,"Brittleness: How easy is it for an anklet to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,anklet,Physics,"Softness: What is the softness (fluffyness, squishiness) of an anklet?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Sharpness,anklet,Physics,Sharpness: What is sharpness of an anklet?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Sharpness,antacid,Physics,Sharpness: What is sharpness of an antacid?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Elasticity,antenna,Physics,"Elasticity: If you were to deform an antenna (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,0.75
Softness,antenna,Physics,"Softness: What is the softness (fluffyness, squishiness) of an antenna?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Elasticity,apple,Physics,"Elasticity: If you were to deform an apple (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Surface smoothness,apple,Physics,Surface smoothness: What is the surface smoothness of an apple?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,3.0,0.75
Sharpness,apple,Physics,Sharpness: What is sharpness of an apple?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Malleability,apple,Physics,Malleability: Can an apple be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Surface Hardness,apricot,Physics,Surface Hardness: How resistant to scratches or bruises is the surface of an apricot?,Low: surface can be easily scratched or bruised.,"Moderate: surface is resistant to most unintentional damage, but could be scratched if force is applied.",High: object does not get scratched or bruised easily.,1.0,0.75
Sharpness,apricot,Physics,Sharpness: What is sharpness of an apricot?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Malleability,apricot,Physics,Malleability: Can an apricot be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Elasticity,apron,Physics,"Elasticity: If you were to deform an apron (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,3.0,0.75
Surface Hardness,apron,Physics,Surface Hardness: How resistant to scratches or bruises is the surface of an apron?,Low: surface can be easily scratched or bruised.,"Moderate: surface is resistant to most unintentional damage, but could be scratched if force is applied.",High: object does not get scratched or bruised easily.,3.0,0.75
Brittleness,apron,Physics,"Brittleness: How easy is it for an apron to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,1.0
Softness,apron,Physics,"Softness: What is the softness (fluffyness, squishiness) of an apron?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,3.0,1.0
Sharpness,apron,Physics,Sharpness: What is sharpness of an apron?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Malleability,apron,Physics,Malleability: Can an apron be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,3.0,0.75
Elasticity,aquarium,Physics,"Elasticity: If you were to deform an aquarium (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Surface smoothness,aquarium,Physics,Surface smoothness: What is the surface smoothness of an aquarium?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,3.0,0.75
Brittleness,aquarium,Physics,"Brittleness: How easy is it for an aquarium to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,3.0,0.75
Softness,aquarium,Physics,"Softness: What is the softness (fluffyness, squishiness) of an aquarium?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Malleability,aquarium,Physics,Malleability: Can an aquarium be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Brittleness,armband,Physics,"Brittleness: How easy is it for an armband to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,armband,Physics,"Softness: What is the softness (fluffyness, squishiness) of an armband?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Surface smoothness,artichoke,Physics,Surface smoothness: What is the surface smoothness of an artichoke?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,1.0,0.75
Elasticity,artifact,Physics,"Elasticity: If you were to deform an artifact (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,0.75
Softness,artifact,Physics,"Softness: What is the softness (fluffyness, squishiness) of an artifact?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Malleability,artifact,Physics,Malleability: Can an artifact be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Surface Hardness,artwork,Physics,Surface Hardness: How resistant to scratches or bruises is the surface of an artwork?,Low: surface can be easily scratched or bruised.,"Moderate: surface is resistant to most unintentional damage, but could be scratched if force is applied.",High: object does not get scratched or bruised easily.,1.0,0.75
Malleability,artwork,Physics,Malleability: Can an artwork be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Brittleness,ashcan,Physics,"Brittleness: How easy is it for an ashcan to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,1.0
Softness,ashcan,Physics,"Softness: What is the softness (fluffyness, squishiness) of an ashcan?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Elasticity,ashtray,Physics,"Elasticity: If you were to deform an ashtray (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Softness,ashtray,Physics,"Softness: What is the softness (fluffyness, squishiness) of an ashtray?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Malleability,ashtray,Physics,Malleability: Can an ashtray be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Malleability,asparagus,Physics,Malleability: Can an asparagus be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Elasticity,atomizer,Physics,"Elasticity: If you were to deform an atomizer (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,0.75
Softness,atomizer,Physics,"Softness: What is the softness (fluffyness, squishiness) of an atomizer?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Sharpness,atomizer,Physics,Sharpness: What is sharpness of an atomizer?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Malleability,atomizer,Physics,Malleability: Can an atomizer be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Sharpness,audio_system,Physics,Sharpness: What is sharpness of an audio_system?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Malleability,audio_system,Physics,Malleability: Can an audio_system be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Surface smoothness,avocado,Physics,Surface smoothness: What is the surface smoothness of an avocado?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,1.0,1.0
Sharpness,avocado,Physics,Sharpness: What is sharpness of an avocado?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Malleability,avocado,Physics,Malleability: Can an avocado be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,ax,Physics,"Elasticity: If you were to deform an ax (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Surface Hardness,ax,Physics,Surface Hardness: How resistant to scratches or bruises is the surface of an ax?,Low: surface can be easily scratched or bruised.,"Moderate: surface is resistant to most unintentional damage, but could be scratched if force is applied.",High: object does not get scratched or bruised easily.,3.0,0.75
Brittleness,ax,Physics,"Brittleness: How easy is it for an ax to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,1.0
Softness,ax,Physics,"Softness: What is the softness (fluffyness, squishiness) of an ax?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Sharpness,ax,Physics,Sharpness: What is sharpness of an ax?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,3.0,1.0
Stiffness,ax,Physics,Stiffness: What is the amount of continued weight that an ax can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,1.0
Malleability,ax,Physics,Malleability: Can an ax be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,backpack,Physics,"Elasticity: If you were to deform a backpack (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,3.0,0.75
Brittleness,backpack,Physics,"Brittleness: How easy is it for a backpack to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,1.0
Brittleness,bag,Physics,"Brittleness: How easy is it for a bag to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,1.0
Softness,bag,Physics,"Softness: What is the softness (fluffyness, squishiness) of a bag?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Sharpness,bag,Physics,Sharpness: What is sharpness of a bag?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Surface smoothness,bagel,Physics,Surface smoothness: What is the surface smoothness of a bagel?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,1.0,0.75
Surface Hardness,bagel,Physics,Surface Hardness: How resistant to scratches or bruises is the surface of a bagel?,Low: surface can be easily scratched or bruised.,"Moderate: surface is resistant to most unintentional damage, but could be scratched if force is applied.",High: object does not get scratched or bruised easily.,1.0,0.75
Softness,bagel,Physics,"Softness: What is the softness (fluffyness, squishiness) of a bagel?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,3.0,1.0
Sharpness,bagel,Physics,Sharpness: What is sharpness of a bagel?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Stiffness,bagel,Physics,Stiffness: What is the amount of continued weight that a bagel can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,1.0,0.75
Surface smoothness,baguet,Physics,Surface smoothness: What is the surface smoothness of a baguet?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,1.0,0.75
Sharpness,baguet,Physics,Sharpness: What is sharpness of a baguet?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Brittleness,bait,Physics,"Brittleness: How easy is it for a bait to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Sharpness,bait,Physics,Sharpness: What is sharpness of a bait?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Elasticity,ball,Physics,"Elasticity: If you were to deform a ball (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,3.0,0.75
Brittleness,ball,Physics,"Brittleness: How easy is it for a ball to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Sharpness,ball,Physics,Sharpness: What is sharpness of a ball?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Malleability,ball,Physics,Malleability: Can a ball be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Elasticity,ballet_skirt,Physics,"Elasticity: If you were to deform a ballet_skirt (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,3.0,0.75
Brittleness,ballet_skirt,Physics,"Brittleness: How easy is it for a ballet_skirt to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,ballet_skirt,Physics,"Softness: What is the softness (fluffyness, squishiness) of a ballet_skirt?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,3.0,1.0
Sharpness,ballet_skirt,Physics,Sharpness: What is sharpness of a ballet_skirt?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Stiffness,ballet_skirt,Physics,Stiffness: What is the amount of continued weight that a ballet_skirt can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,1.0,0.75
Elasticity,balloon,Physics,"Elasticity: If you were to deform a balloon (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,3.0,0.75
Surface smoothness,balloon,Physics,Surface smoothness: What is the surface smoothness of a balloon?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,3.0,1.0
Surface Hardness,balloon,Physics,Surface Hardness: How resistant to scratches or bruises is the surface of a balloon?,Low: surface can be easily scratched or bruised.,"Moderate: surface is resistant to most unintentional damage, but could be scratched if force is applied.",High: object does not get scratched or bruised easily.,1.0,0.75
Softness,balloon,Physics,"Softness: What is the softness (fluffyness, squishiness) of a balloon?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,3.0,1.0
Sharpness,balloon,Physics,Sharpness: What is sharpness of a balloon?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Softness,bamboo,Physics,"Softness: What is the softness (fluffyness, squishiness) of a bamboo?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Surface smoothness,banana,Physics,Surface smoothness: What is the surface smoothness of a banana?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,3.0,0.75
Surface Hardness,banana,Physics,Surface Hardness: How resistant to scratches or bruises is the surface of a banana?,Low: surface can be easily scratched or bruised.,"Moderate: surface is resistant to most unintentional damage, but could be scratched if force is applied.",High: object does not get scratched or bruised easily.,1.0,0.75
Softness,banana,Physics,"Softness: What is the softness (fluffyness, squishiness) of a banana?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,3.0,1.0
Sharpness,banana,Physics,Sharpness: What is sharpness of a banana?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Stiffness,banana,Physics,Stiffness: What is the amount of continued weight that a banana can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,1.0,0.75
Malleability,banana,Physics,Malleability: Can a banana be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Brittleness,band_aid,Physics,"Brittleness: How easy is it for a band_aid to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,band_aid,Physics,"Softness: What is the softness (fluffyness, squishiness) of a band_aid?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,3.0,1.0
Sharpness,band_aid,Physics,Sharpness: What is sharpness of a band_aid?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Surface smoothness,bandage,Physics,Surface smoothness: What is the surface smoothness of a bandage?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,1.0,0.75
Brittleness,bandage,Physics,"Brittleness: How easy is it for a bandage to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,bandage,Physics,"Softness: What is the softness (fluffyness, squishiness) of a bandage?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,3.0,0.75
Sharpness,bandage,Physics,Sharpness: What is sharpness of a bandage?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Malleability,bandage,Physics,Malleability: Can a bandage be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,3.0,0.75
Surface smoothness,bandanna,Physics,Surface smoothness: What is the surface smoothness of a bandanna?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,3.0,0.75
Brittleness,bandanna,Physics,"Brittleness: How easy is it for a bandanna to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,1.0
Softness,bandanna,Physics,"Softness: What is the softness (fluffyness, squishiness) of a bandanna?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,3.0,1.0
Sharpness,bandanna,Physics,Sharpness: What is sharpness of a bandanna?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
